OrderDate,InvoiceNo,CustomerID,HospitalName,Region,State,ProductCategory,ProductName,SalesRep,Quantity,UnitPrice,TotalSales
2024-05-27,INV00001,CUST00001,"Hubbard, Flores and Snow Hospital",North,Haryana,Pharma,Medicine D,Arjun,42,13426,563892
2023-03-11,INV00002,CUST00002,Morales Ltd Hospital,West,Maharashtra,Medical Devices,Device Y,Arjun,41,7938,325458
2023-07-12,INV00003,CUST00003,"Shepherd, Velez and Hughes Hospital",East,Odisha,Pharma,Medicine B,Arjun,3,18371,55113
2025-05-11,INV00004,CUST00004,Williams-Jones Hospital,West,Maharashtra,Medical Devices,Device Y,Rahul,8,947,7576
2023-03-18,INV00005,CUST00005,Davis LLC Hospital,West,Rajasthan,Medical Devices,Device X,Anita,44,9766,429704
2024-05-19,INV00006,CUST00006,Galloway Inc Hospital,North,Haryana,Medical Devices,Device X,Anita,24,19017,456408
2024-10-14,INV00007,CUST00007,Morris-Palmer Hospital,East,Bengal,Medical Devices,Device Y,Sneha,24,12223,293352
2023-01-05,INV00008,CUST00008,"Riley, Butler and Bright Hospital",East,Odisha,Medical Devices,Device Z,Sneha,37,9250,342250
2023-05-06,INV00009,CUST00009,Hopkins-Wagner Hospital,South,Tamil Nadu,Medical Devices,Device X,Sneha,42,15342,644364
2024-05-18,INV00010,CUST00010,Schneider Inc Hospital,East,Assam,Medical Devices,Device Y,Arjun,6,4449,26694
2024-08-22,INV00011,CUST00011,Short-Kelley Hospital,North,Punjab,Medical Devices,Device W,Sneha,46,14152,650992
2024-02-20,INV00012,CUST00012,"Diaz, Phillips and Drake Hospital",North,Delhi,Medical Devices,Device X,Sneha,29,9118,264422
2025-01-13,INV00013,CUST00013,"Gregory, Hammond and Jones Hospital",South,Tamil Nadu,Medical Devices,Device Y,Sneha,7,9239,64673
2024-01-22,INV00014,CUST00014,Vasquez Group Hospital,North,Haryana,Pharma,Medicine C,Anita,34,9882,335988
2023-07-28,INV00015,CUST00015,"French, Todd and Williams Hospital",East,Odisha,Medical Devices,Device Z,Sneha,39,12284,479076
2023-08-01,INV00016,CUST00016,Andrews and Sons Hospital,West,Rajasthan,Pharma,Medicine A,Anita,24,9509,228216
2025-06-01,INV00017,CUST00017,"Lloyd, Sanders and Nelson Hospital",North,Haryana,Pharma,Medicine B,Rahul,32,5771,184672
2024-04-01,INV00018,CUST00018,"Harrison, Hayes and Watkins Hospital",South,Kerala,Medical Devices,Device Z,Rahul,40,7038,281520
2023-07-08,INV00019,CUST00019,Mendoza LLC Hospital,East,Odisha,Pharma,Medicine A,Anita,49,3328,163072
2023-08-16,INV00020,CUST00020,"Hobbs, Mejia and Clay Hospital",North,Punjab,Medical Devices,Device Z,Anita,2,14966,29932
2025-02-16,INV00021,CUST00021,"Perez, Ellis and Nolan Hospital",South,Karnataka,Medical Devices,Device X,Anita,49,16014,784686
2023-12-26,INV00022,CUST00022,Thompson-Rodriguez Hospital,West,Rajasthan,Pharma,Medicine C,Sneha,4,13297,53188
2025-11-06,INV00023,CUST00023,Rivera Group Hospital,North,Delhi,Medical Devices,Device X,Sneha,29,143,4147
2024-10-19,INV00024,CUST00024,Carter-Sanchez Hospital,South,Kerala,Pharma,Medicine A,Arjun,30,17826,534780
2024-03-27,INV00025,CUST00025,"Adkins, Sawyer and Wilkins Hospital",East,Assam,Pharma,Medicine D,Rahul,7,1371,9597
2023-08-13,INV00026,CUST00026,King-Hooper Hospital,East,Bengal,Pharma,Medicine D,Sneha,46,1779,81834
2025-11-15,INV00027,CUST00027,Sherman PLC Hospital,North,Delhi,Pharma,Medicine A,Arjun,34,16404,557736
2023-01-30,INV00028,CUST00028,Allen PLC Hospital,South,Karnataka,Pharma,Medicine C,Rahul,15,12882,193230
2023-07-22,INV00029,CUST00029,Gallegos-Rosario Hospital,South,Karnataka,Pharma,Medicine B,Sneha,4,10628,42512
2025-05-06,INV00030,CUST00030,Brooks Ltd Hospital,East,Odisha,Pharma,Medicine C,Rahul,45,5126,230670
2024-12-31,INV00031,CUST00031,Zavala Inc Hospital,East,Odisha,Medical Devices,Device Z,Anita,49,19023,932127
2024-08-31,INV00032,CUST00032,Hanson Ltd Hospital,South,Kerala,Pharma,Medicine C,Sneha,28,11632,325696
2024-04-23,INV00033,CUST00033,Roy-Taylor Hospital,North,Haryana,Medical Devices,Device X,Arjun,35,15574,545090
2023-10-25,INV00034,CUST00034,"Ellis, Rice and Miller Hospital",North,Haryana,Pharma,Medicine B,Rahul,25,3439,85975
2024-10-01,INV00035,CUST00035,Taylor-Wilson Hospital,West,Maharashtra,Medical Devices,Device W,Anita,24,14612,350688
2023-04-12,INV00036,CUST00036,"Finley, Vasquez and Cooper Hospital",West,Maharashtra,Pharma,Medicine C,Anita,38,14569,553622
